Date,Month,Year,Price
01-01-2001,1,2001,18.871668
01-02-2001,2,2001,17.75
01-03-2001,3,2001,16.916668
01-04-2001,4,2001,18.245001
01-05-2001,5,2001,18.616667
01-06-2001,6,2001,19.001667
01-07-2001,7,2001,18.875
01-08-2001,8,2001,18.535
01-09-2001,9,2001,15.916667
01-10-2001,10,2001,16.793333
01-11-2001,11,2001,17.9
01-12-2001,12,2001,19.066668
01-01-2002,1,2002,19.358334
01-02-2002,2,2002,18.958332
01-03-2002,3,2002,20.415001
01-04-2002,4,2002,21.065001
01-05-2002,5,2002,20.166668
01-06-2002,6,2002,19.083332
01-07-2002,7,2002,16.416668
01-08-2002,8,2002,16.513332
01-09-2002,9,2002,15.523333
01-10-2002,10,2002,15.975
01-11-2002,11,2002,16.834999
01-12-2002,12,2002,16.241667
01-01-2003,1,2003,15.745
01-02-2003,2,2003,15.195
01-03-2003,3,2003,15.246667
01-04-2003,4,2003,16.553333
01-05-2003,5,2003,17.821667
01-06-2003,6,2003,18.275
01-07-2003,7,2003,19.184999
01-08-2003,8,2003,20.143333
01-09-2003,9,2003,19.563334
01-10-2003,10,2003,21.253332
01-11-2003,11,2003,22.075001
01-12-2003,12,2003,22.333332
01-01-2004,1,2004,22.995001
01-02-2004,2,2004,23.415001
01-03-2004,3,2004,23.733334
01-04-2004,4,2004,22.809999
01-05-2004,5,2004,23.303333
01-06-2004,6,2004,24.533333
01-07-2004,7,2004,23.181667
01-08-2004,8,2004,22.950001
01-09-2004,9,2004,24.040001
01-10-2004,10,2004,24.538334
01-11-2004,11,2004,26.691668
01-12-2004,12,2004,27.118334
01-01-2005,1,2005,26.51
01-02-2005,2,2005,27.25
01-03-2005,3,2005,26.475
01-04-2005,4,2005,25.001667
01-05-2005,5,2005,26.618334
01-06-2005,6,2005,27.51
01-07-2005,7,2005,29.200001
01-08-2005,8,2005,28.725
01-09-2005,9,2005,28.879999
01-10-2005,10,2005,27.85
01-11-2005,11,2005,29.285
01-12-2005,12,2005,28.9
01-01-2006,1,2006,31.27
01-02-2006,2,2006,31.120001
01-03-2006,3,2006,32.615002
01-04-2006,4,2006,32.650002
01-05-2006,5,2006,31.165001
01-06-2006,6,2006,31.049999
01-07-2006,7,2006,29.9
01-08-2006,8,2006,30.440001
01-09-2006,9,2006,30.645
01-10-2006,10,2006,32.220001
01-11-2006,11,2006,33.064999
01-12-2006,12,2006,32.994999
01-01-2007,1,2007,33.654999
01-02-2007,2,2007,33.439999
01-03-2007,3,2007,33.955002
01-04-2007,4,2007,34.744999
01-05-2007,5,2007,36.264999
01-06-2007,6,2007,35.549999
01-07-2007,7,2007,33.75
01-08-2007,8,2007,34.380001
01-09-2007,9,2007,34.875
01-10-2007,10,2007,35.474998
01-11-2007,11,2007,32.950001
01-12-2007,12,2007,32.509998
01-01-2008,1,2008,30.754999
01-02-2008,2,2008,30.025
01-03-2008,3,2008,29.965
01-04-2008,4,2008,31.290001
01-05-2008,5,2008,32.59
01-06-2008,6,2008,30.084999
01-07-2008,7,2008,30.655001
01-08-2008,8,2008,31.969999
01-09-2008,9,2008,29.754999
01-10-2008,10,2008,23.875
01-11-2008,11,2008,21.045
01-12-2008,12,2008,21.985001
01-01-2009,1,2009,19.415001
01-02-2009,2,2009,17.120001
01-03-2009,3,2009,18.195
01-04-2009,4,2009,21.485001
01-05-2009,5,2009,21.885
01-06-2009,6,2009,22.215
01-07-2009,7,2009,24.379999
01-08-2009,8,2009,24.959999
01-09-2009,9,2009,26.17
01-10-2009,10,2009,24.709999
01-11-2009,11,2009,25.355
01-12-2009,12,2009,27.360001
01-01-2010,1,2010,26.5
01-02-2010,2,2010,27.59
01-03-2010,3,2010,29.725
01-04-2010,4,2010,31.455
01-05-2010,5,2010,29.205
01-06-2010,6,2010,27.07
01-07-2010,7,2010,28.815001
01-08-2010,8,2010,26.625
01-09-2010,9,2010,29.545
01-10-2010,10,2010,30.799999
01-11-2010,11,2010,31.975
01-12-2010,12,2010,34.235001
01-01-2011,1,2011,34.275002
01-02-2011,2,2011,35.794998
