Month,Year,Price,,,,
1,2001,18.871668,,,,
2,2001,17.75,,,,
3,2001,16.916668,,,,
4,2001,18.245001,,,,
5,2001,18.616667,,,,
6,2001,19.001667,,,,
7,2001,18.875,,,,
8,2001,18.535,,,,
9,2001,15.916667,,,,
10,2001,16.793333,,,,
11,2001,17.9,,,,
12,2001,19.066668,,,,
1,2002,19.358334,,,,
2,2002,18.958332,,,,
3,2002,20.415001,,,,
4,2002,21.065001,,,,
5,2002,20.166668,,,,
6,2002,19.083332,,,,
7,2002,16.416668,,,,
8,2002,16.513332,,,,
9,2002,15.523333,,,,
10,2002,15.975,,,,
11,2002,16.834999,,,,
12,2002,16.241667,,,,
1,2003,15.745,,,,
2,2003,15.195,,,,
3,2003,15.246667,,,,
4,2003,16.553333,,,,
5,2003,17.821667,,,,
6,2003,18.275,,,,
7,2003,19.184999,,,,
8,2003,20.143333,,,,
9,2003,19.563334,,,,
10,2003,21.253332,,,,
11,2003,22.075001,,,,
12,2003,22.333332,,,,
1,2004,22.995001,,,,
2,2004,23.415001,,,,
3,2004,23.733334,,,,
4,2004,22.809999,,,,
5,2004,23.303333,,,,
6,2004,24.533333,,,,
7,2004,23.181667,,,,
8,2004,22.950001,,,,
9,2004,24.040001,,,,
10,2004,24.538334,,,,
11,2004,26.691668,,,,
12,2004,27.118334,,,,
1,2005,26.51,,,,
2,2005,27.25,,,,
3,2005,26.475,,,,
4,2005,25.001667,,,,
5,2005,26.618334,,,,
6,2005,27.51,,,,
7,2005,29.200001,,,,
8,2005,28.725,,,,
9,2005,28.879999,,,,
10,2005,27.85,,,,
11,2005,29.285,,,,
12,2005,28.9,,,,
1,2006,31.27,,,,
2,2006,31.120001,,,,
3,2006,32.615002,,,,
4,2006,32.650002,,,,
5,2006,31.165001,,,,
6,2006,31.049999,,,,
7,2006,29.9,,,,
8,2006,30.440001,,,,
9,2006,30.645,,,,
10,2006,32.220001,,,,
11,2006,33.064999,,,,
12,2006,32.994999,,,,
1,2007,33.654999,,,,
2,2007,33.439999,,,,
3,2007,33.955002,,,,
4,2007,34.744999,,,,
5,2007,36.264999,,,,
6,2007,35.549999,,,,
7,2007,33.75,,,,
8,2007,34.380001,,,,
9,2007,34.875,,,,
10,2007,35.474998,,,,
11,2007,32.950001,,,,
